鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元
員林鎮,土地,豐年段1051~1080地號,223.65,住,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12516000,55962,,0.0,0
大村鄉,土地,新興段211~240地號,2329.86,,特定農業區,農牧用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7960000,3417,,0.0,0
鹿港鎮,土地,永安段1741~1770地號,2885.0,,特定農業區,農牧用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7713900,2674,,0.0,0
伸港鄉,土地,伸股段151~180地號,988.6,住,,,10303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,19430000,19654,,0.0,0
芬園鄉,土地,同安寮段601~630地號,277.56,,山坡地保育區,農牧用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,444092,1600,,0.0,0
彰化市,房地(土地+建物),彰化縣彰化巿天祥路216巷1~30號,75.0,住,,,10304,土地1建物1車位0,全,004,透天厝,見其他登記事項,鋼筋混凝土造,1001121,204.28,4,3,4,有,無,12800000,62659,,0.0,0
秀水鄉,房地(土地+建物),彰化縣秀水鄉復興巷52弄1~30號,107.72,,特定農業區,甲種建築用地,10303,土地3建物1車位0,全,003,透天厝,見其他登記事項,鋼筋混凝土造,1021223,174.86,5,2,3,有,無,5420000,30996,,0.0,0
秀水鄉,房地(土地+建物),彰化縣秀水鄉復興巷52弄1~30號,107.72,,特定農業區,甲種建築用地,10303,土地2建物1車位0,全,003,透天厝,見其他登記事項,鋼筋混凝土造,1021223,175.74,5,2,3,有,無,5500000,31296,,0.0,0
彰化市,房地(土地+建物),彰化縣彰化巿泰和路三段26巷1~30號,128.67,住,,,10304,土地1建物1車位0,全,003,透天厝,住家用,鋼筋混凝土造,0811208,235.29,4,1,3,有,無,4800000,20400,,0.0,0
彰化市,土地,新快官段361~390地號,3773.25,,特定農業區,農牧用地,10303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,42230000,11192,,0.0,0
彰化市,土地,中華段391~420地號,6.0,商,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,766080,127680,,0.0,0
彰化市,房地(土地+建物),彰化縣彰化巿大埔路481~510號,49.5,住,,,10303,土地3建物1車位0,四層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0851012,168.17,3,2,2,有,有,5500000,32705,,0.0,0
花壇鄉,土地,燕霧段751~780地號,290.47,農,,,10303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4031142,13878,,0.0,0
秀水鄉,房地(土地+建物),彰化縣秀水鄉復興巷52弄1~30號,109.72,,特定農業區,甲種建築用地,10303,土地2建物1車位0,全,003,透天厝,見其他登記事項,鋼筋混凝土造,1021223,176.52,5,2,3,有,無,5350000,30308,,0.0,0
彰化市,房地(土地+建物)+車位,彰化縣彰化巿孝德街1~30號,19.15,住,,,10304,土地3建物1車位1,一層，二層，騎樓,008,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0830823,115.65,4,2,3,有,無,2850000,24643,坡道機械,0.0,0
彰化市,房地(土地+建物),彰化縣彰化巿向陽街99巷49弄1~30號,108.39,住,,,10304,土地2建物1車位0,全,004,透天厝,見其他登記事項,鋼筋混凝土造,1020823,286.37,4,3,5,有,無,14350000,50110,,0.0,0
彰化市,房地(土地+建物),彰化縣彰化巿向陽街77巷31~60號,88.0,住,,,10304,土地1建物1車位0,全,004,透天厝,見其他登記事項,鋼筋混凝土造,1020823,314.47,4,3,5,有,無,14840000,47191,,0.0,0
花壇鄉,土地,福岩段301~330地號,4271.96,,山坡地保育區,農牧用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5100000,1194,,0.0,0
彰化市,房地(土地+建物),彰化縣彰化巿延和里大埔路1~30號,65.0,,山坡地保育區,丙種建築用地,10304,土地1建物1車位0,全,002,透天厝,住商用,鋼筋混凝土加強磚造,0680708,95.79,3,2,2,有,無,5000000,52198,,0.0,0
彰化市,房地(土地+建物)+車位,彰化縣彰化巿三民路391~420號,56.24,住,,,10304,土地2建物1車位1,十層,012,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0820707,292.16,0,0,0,有,有,7200000,24644,升降機械,0.0,0
彰化市,土地,三民段901~930地號,68.0,商,,,10304,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7806855,114807,,0.0,0
芬園鄉,房地(土地+建物),彰化縣芬園鄉社口村成功路31~60號,102.39,住,,,10304,土地1建物1車位0,全,003,透天厝,見其他登記事項,鋼筋混凝土造,1020626,179.66,5,2,3,有,無,6760000,37627,,0.0,0
