鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元
大安區,房地(土地+建物)+車位,臺北市大安區溫州街74巷1~30號,36.23,住,,,10304,土地1建物1車位1,一層,5,店面(店鋪),住家用,鋼筋混凝土造,,58.01,0,0,1,有,無,無,35000,603,坡道平面,0.0,0
士林區,建物,臺北市士林區天母西路1~30號,0.0,住,,,10304,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0651106,190.92,3,3,2,有,有,有,74000,388,,0.0,0
中正區,房地(土地+建物),臺北市中正區泉州街61~90號,19.0,住,,,10304,土地2建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681126,115.92,3,2,2,有,無,有,15000,129,,0.0,0
中山區,建物,臺北市中山區南京東路二段41巷3弄1~30號,0.0,住,,,10304,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),,加強磚造,,73.02,0,0,1,有,無,有,23000,315,,0.0,0
中山區,建物,臺北市中山區建國北路一段124巷1~30號,0.0,住,,,10304,土地0建物1車位0,十層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850727,343.52,3,2,2,有,有,有,77640,226,,0.0,0
中山區,建物,臺北市中山區南京東路二段91~120號,0.0,商,,,10304,土地0建物1車位0,十二層,18,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0990917,48.17,1,1,1,有,有,有,42000,872,,0.0,0
中山區,建物,臺北市中山區中山北路二段77巷1~30號,0.0,商,,,10304,土地0建物1車位0,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0981027,78.50999999999999,2,2,1,有,有,有,45000,573,,0.0,0
中山區,建物,臺北市中山區龍江路120巷1~30號,0.0,住,,,10304,土地0建物1車位0,八層,10,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0880524,95.45,2,2,1,有,有,有,30000,314,,0.0,0
中山區,建物,臺北市中山區中山北路二段77巷1~30號,0.0,商,,,10304,土地0建物1車位0,十層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0901112,69.84,2,2,1,有,有,有,38000,544,,0.0,0
中山區,建物,臺北市中山區雙城街19巷1~30號,0.0,商,,,10304,土地0建物1車位0,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970312,69.84,1,1,1,有,有,有,35000,501,,0.0,0
中山區,建物,臺北市中山區建國北路二段1~30號,0.0,住,,,10304,土地0建物1車位0,九層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0950713,60.379999999999995,2,1,1,有,有,有,31000,513,,0.0,0
中山區,建物,臺北市中山區林森北路571~600號,0.0,商,,,10304,土地0建物1車位0,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000726,147.9,2,2,2,有,有,有,70000,473,,0.0,0
中山區,建物,臺北市中山區農安街1~30號,0.0,商,,,10304,土地0建物1車位0,七層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0980622,100.65,1,2,1,有,有,有,45900,456,,0.0,0
中山區,建物,臺北市中山區林森北路557巷1~30號,0.0,商,,,10304,土地0建物1車位0,二層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0990702,69.63,2,1,1,有,有,有,30000,431,,0.0,0
中山區,建物,臺北市中山區中山北路一段83巷31~60號,0.0,商,,,10304,土地0建物1車位0,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970314,155.98,3,1,2,有,有,有,55000,353,,0.0,0
中山區,建物,臺北市中山區復興北路121~150號,0.0,商,,,10304,土地0建物1車位0,十二層,14,辦公商業大樓,商業用,鋼筋混凝土造,0720817,278.73,0,0,0,無,有,無,160000,574,坡道平面,0.0,0
中山區,建物,臺北市中山區林森北路361~390號,0.0,商,,,10304,土地0建物1車位0,十三層,18,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0980916,162.75,2,2,2,有,有,有,78000,479,,0.0,0
松山區,房地(土地+建物),臺北市松山區八德路四段631~660號,1109.0,其他,,,10304,土地1建物1車位0,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0980727,79.84,2,2,1,有,有,有,31000,388,,0.0,0
松山區,建物,臺北市松山區民生東路四段97巷4弄1~30號,0.0,住,,,10304,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),見使用執照,鋼筋混凝土造,0760608,121.58,0,0,1,有,無,無,60227,495,,0.0,0
信義區,建物,臺北市信義區基隆路一段101巷1~30號,0.0,住,,,10304,土地0建物1車位0,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961106,132.75,3,2,2,有,有,有,68000,512,,0.0,0
信義區,建物,臺北市信義區信義路五段121~150號,0.0,其他,,,10304,土地0建物1車位0,十三層,25,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0931130,219.8,1,2,2,有,有,有,90000,409,,0.0,0
信義區,建物,臺北市信義區仁愛路四段511~540號,0.0,商,,,10304,土地0建物1車位0,見其他登記事項,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0690828,649.23,0,0,0,無,有,無,300000,462,,0.0,0
大同區,建物,臺北市大同區市民大道一段181~210號,0.0,其他,,,10304,土地0建物1車位0,十三層,18,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0980724,92.41,2,2,1,有,有,有,43200,467,,0.0,0
中正區,建物,臺北市中正區南陽街1~30號,0.0,商,,,10304,土地0建物1車位0,全,1,透天厝,,木造,,79.89,0,1,1,有,無,無,100000,1252,,0.0,0
中正區,建物,臺北市中正區連雲街1~30號,0.0,住,,,10304,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0951031,122.53,2,2,2,有,有,有,50000,408,,0.0,0
中正區,建物,臺北市中正區新生南路一段1~30號,0.0,其他,,,10304,土地0建物1車位0,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0741210,134.95999999999998,3,2,1,有,有,有,48000,356,,0.0,0
大同區,建物,臺北市大同區市民大道一段181~210號,0.0,其他,,,10304,土地0建物1車位0,十七層,18,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0980724,111.9,3,2,2,有,有,有,70000,626,,0.0,0
中正區,房地(土地+建物),臺北市中正區南昌路一段121~150號,4.7,商,,,10304,土地2建物1車位0,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970307,37.22,1,1,1,有,有,有,18000,484,,0.0,0
士林區,建物,臺北市士林區中山北路六段157巷1~30號,0.0,工,,,10304,土地0建物1車位0,三層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0971002,121.28,3,2,1,有,有,有,70000,577,,0.0,0
士林區,建物,臺北市士林區中山北路六段172巷1~30號,0.0,住,,,10304,土地0建物1車位1,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1001223,150.98000000000002,2,2,2,有,有,有,59000,391,坡道平面,0.0,6000
士林區,建物,臺北市士林區中山北路七段14巷5弄1~30號,0.0,商,,,10304,土地0建物1車位0,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971118,177.65,3,2,2,有,有,有,90000,507,,0.0,0
士林區,建物,臺北市士林區重慶北路四段211~240號,0.0,住,,,10304,土地0建物1車位0,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0740402,66.57,2,1,1,有,有,無,16000,240,,0.0,0
士林區,建物,臺北市士林區和豐街33巷1~30號,0.0,住,,,10304,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0590918,61.3,2,1,1,有,無,無,20000,326,,0.0,0
士林區,建物,臺北市士林區臺北市忠誠路二段151~180號,0.0,住,,,10304,土地0建物1車位0,十層,26,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,0841103,240.89999999999998,3,2,2,有,有,有,95000,394,,0.0,0
大安區,建物,臺北市大安區和平東路一段181~210號,0.0,商,,,10304,土地0建物1車位0,四層,12,辦公商業大樓,商業用,鋼筋混凝土造,0770210,160.03,0,0,0,無,無,有,55000,344,,0.0,0
大安區,建物,臺北市大安區光復南路260巷1~30號,0.0,住,,,10304,土地0建物1車位0,六層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0900925,173.85,4,2,2,有,有,有,80000,460,,0.0,0
大安區,建物,臺北市大安區延吉街61~90號,0.0,商,,,10304,土地0建物1車位0,一層,4,店面(店鋪),住家用,鋼筋混凝土造,0600715,90.34,0,0,0,無,無,無,107305,1188,,0.0,0
大安區,建物,臺北市大安區龍泉街61~90號,0.0,商,,,10304,土地0建物1車位0,一層,6,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0731214,225.81,0,0,0,無,無,無,120000,531,,0.0,0
大安區,建物,臺北市大安區敦化南路二段200巷1~30號,0.0,住,,,10305,土地0建物1車位0,一層,11,店面(店鋪),住家用,鋼筋混凝土造,0790502,115.44,0,0,0,無,有,有,55000,476,,0.0,0
大安區,建物,臺北市大安區仁愛路四段211~240號,0.0,住,,,10304,土地0建物2車位0,一層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0670912,174.47,0,0,0,無,有,無,140000,802,,0.0,0
大安區,建物,臺北市大安區仁愛路四段408巷1~30號,0.0,商,,,10304,土地0建物1車位0,二層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970701,106.9,2,1,1,有,有,有,45600,427,,0.0,0
大安區,建物,臺北市大安區延吉街91~120號,0.0,,,,10305,土地0建物1車位0,一層,7,店面(店鋪),見使用執照,鋼筋混凝土造,,117.73,0,0,0,無,無,無,200000,1699,,0.0,0
大安區,建物,臺北市大安區安和路一段61~90號,0.0,其他,,,10304,土地0建物1車位0,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0731205,93.93,2,1,1,有,有,有,48000,511,,0.0,0
大安區,建物,臺北市大安區和平東路一段121~150號,0.0,商,,,10304,土地0建物1車位0,十二層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0881126,153.01,3,1,2,有,有,有,62000,405,,0.0,0
大安區,建物,臺北市大安區永康街1~30號,0.0,住,,,10305,土地0建物1車位0,一層,4,店面(店鋪),住家用,鋼筋混凝土造,,79.81,0,0,0,無,無,無,240000,3007,,0.0,0
北投區,房地(土地+建物),臺北市北投區實踐街6巷3弄1~30號,28.75,住,,,10304,土地1建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0621024,58.93,3,2,1,有,無,無,17000,288,,0.0,0
士林區,房地(土地+建物),臺北市士林區忠誠路一段100巷1~30號,45.65,住,,,10304,土地1建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0751103,97.0,3,1,2,有,無,無,25000,258,,0.0,0
士林區,建物,臺北市士林區中山北路七段81巷1~30號,0.0,住,,,10304,土地0建物1車位0,八層,19,住宅大樓(11層含以上有電梯),住家用,鋼造,0811124,208.19,4,1,2,有,有,有,95000,456,,0.0,0
北投區,建物,臺北市北投區光明路1~30號,0.0,商,,,10304,土地0建物1車位1,十六層,29,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0961119,214.09,4,2,2,有,有,無,45000,210,坡道平面,0.0,0
松山區,建物,臺北市松山區敦化北路238巷1~30號,19.85,住,,,10304,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0681123,127.65,3,2,2,有,無,有,41000,321,,0.0,0
中山區,房地(土地+建物),臺北市中山區松江路124巷1~30號,213.0,商,,,10304,土地1建物6車位0,見其他登記事項,5,店面(店鋪),住家用,鋼筋混凝土造,0600502,886.03,0,5,4,有,無,無,300000,339,,0.0,0
萬華區,建物,臺北市萬華區萬大路61~90號,0.0,住,,,10304,土地0建物1車位0,一層,7,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0820601,97.55,0,0,0,無,無,無,33000,338,,0.0,0
中正區,建物,臺北市中正區衡陽路1~30號,0.0,商,,,10304,土地0建物0車位0,全,3,透天厝,,磚造,,49.5,0,0,0,無,無,無,48300,976,,0.0,0
中正區,建物,臺北市中正區忠孝東路二段64巷1~30號,0.0,商,,,10304,土地0建物1車位0,見其他登記事項,2,公寓(5樓含以下無電梯),,加強磚造,,118.13,0,0,0,無,無,無,85000,720,,0.0,0
松山區,建物,臺北市松山區敦化北路145巷31~60號,40.75,住,,,10304,土地0建物0車位0,二層,4,公寓(5樓含以下無電梯),,加強磚造,,16.53,1,0,0,有,無,有,12000,726,,0.0,0
松山區,建物,臺北市松山區敦化北路4巷31~60號,0.0,商,,,10304,土地0建物1車位0,一層,7,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0701229,172.86,0,0,0,無,無,無,150000,868,,0.0,0
信義區,建物,臺北市信義區松山路631~660號,0.0,商,,,10304,土地0建物1車位0,一層,7,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0780918,238.89,1,1,1,有,無,無,50000,209,,0.0,0
松山區,建物,臺北市松山區三民路31~60號,11.15,住,,,10304,土地0建物1車位0,三層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0980703,54.33,1,1,1,有,有,有,22500,414,,0.0,0
松山區,建物,臺北市松山區光復北路151~180號,21.7,住,,,10304,土地0建物1車位0,一層,7,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0720620,114.72999999999999,0,0,0,無,有,有,60000,523,,0.0,0
信義區,建物,臺北市信義區林口街80巷61~90號,0.0,住,,,10303,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,96.82,3,2,1,有,無,有,24000,248,,0.0,0
信義區,建物,臺北市信義區光復南路421~450號,0.0,商,,,10304,土地0建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970205,83.21000000000001,2,1,2,有,有,有,45000,541,,0.0,0
信義區,建物,臺北市信義區忠孝東路五段71巷12弄1~30號,0.0,住,,,10304,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0980810,36.739999999999995,1,1,1,有,有,有,30000,817,,0.0,0
