鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元
善化區,建物,臺南市善化區月眉園路51巷1~30號,112.78,住,,,10304,土地0建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,1020715,191.0,4,2,4,有,無,有,26000,136,,0.0,0
東區,建物,臺南市東區慶東街127巷1~30號,77.76,住,,,10305,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土構造,0700202,77.76,3,1,2,有,無,有,9000,116,,0.0,0
東區,建物,臺南市東區裕農路841~870號,99.36,住,,,10305,土地0建物1車位0,全,4,透天厝,住商用,鋼筋混凝土構造,0920731,99.36,0,0,1,有,無,有,19000,191,,0.0,0
中西區,建物,臺南市中西區民權路三段400巷1~30號,0.0,住,,,10305,土地0建物1車位0,八層,10,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0880730,122.62,3,2,2,有,無,有,22000,179,,0.0,0
北區,建物,臺南市北區公園南路331~360號,0.0,住,,,10305,土地0建物1車位0,五層,,住宅大樓(11層含以上有電梯),,,,44.8,2,1,1,有,無,有,25000,558,,0.0,0
北區,房地(土地+建物),臺南市北區成功路571~600號,3.04,住,,,10304,土地1建物1車位0,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840307,25.29,1,1,1,有,有,有,5000,198,,0.0,0
北區,房地(土地+建物),臺南市北區公園南路361~390號,3.26,住,,,10304,土地1建物1車位0,十二層,12,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,0960824,19.27,1,0,1,有,有,有,7500,389,,0.0,0
安平區,建物,臺南市安平區永華路二段1231~1260號,215.58,住,,,10305,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土造,0961101,224.06,5,3,3,有,無,有,35000,156,,0.0,0
北區,建物,臺南市北區公園南路331~360號,73.06,住,,,10305,土地0建物1車位0,四層,14,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,0960824,81.63,3,2,2,有,無,有,22500,276,,0.0,0
新市區,房地(土地+建物),臺南市新巿區大營271~300號,73.0,,鄉村區,乙種建築用地,10305,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0690826,72.38,5,2,2,有,無,有,8000,111,,0.0,0
