鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉永興路二段211~240號,1826.98,,特定農業區,農牧用地,10303,土地1建物1車位0,一層,001,農舍,農舍,見其他登記事項,0881227,183.73,4,2,4,有,無,15000000,,,0.0,0
五結鄉,土地,五結段961~990地號,111.0,住,,,10303,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5372400,48400,,0.0,0
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮純精路三段151~180號,8.22,住,,,10304,土地1建物1車位0,三層,013,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851109,66.69,2,1,1,有,有,2600000,38986,,0.0,0
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮南門路31~60號,29.33,住,,,10303,土地1建物1車位0,地下層,,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0750228,161.16,0,0,0,無,無,3550000,22028,,0.0,0
頭城鎮,土地,中崙段91~120地號,1059.32,,特定農業區,農牧用地,10303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5127000,4840,,0.0,0
宜蘭市,房地(土地+建物),宜蘭縣宜蘭巿民族路481~510號,34.37,住,,,10304,土地2建物1車位0,六層,008,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860514,177.23000000000002,5,2,2,有,無,6000000,33854,,0.0,0
宜蘭市,土地,金六結段金結小段31~60地號,129.9,住,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6926313,53320,,0.0,0
頭城鎮,土地,中崙段1~30地號,264.04,,特定農業區,甲種建築用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4000000,15149,,0.0,0
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮大坑路181~210號,23.09,住,,,10304,土地1建物1車位0,四層,009,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1021211,82.50999999999999,1,1,1,有,有,4200000,50903,,0.0,0
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮大坑路181~210號,22.06,住,,,10304,土地1建物1車位0,五層,009,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1021211,78.91,1,1,1,有,有,4020000,50944,,0.0,0
頭城鎮,房地(土地+建物)+車位,宜蘭縣頭城鎮大坑路181~210號,22.06,住,,,10304,土地1建物1車位1,五層,009,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1021211,116.19,1,1,1,有,有,5180000,44582,坡道平面,0.0,0
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮大坑路181~210號,23.09,住,,,10304,土地1建物1車位0,五層,009,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1021211,82.50999999999999,1,1,1,有,有,4430000,53690,,0.0,0
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮大坑路181~210號,22.06,住,,,10304,土地1建物1車位0,六層,009,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1021211,78.91,1,1,1,有,有,4210000,53352,,0.0,0
頭城鎮,房地(土地+建物)+車位,宜蘭縣頭城鎮大坑路181~210號,31.05,住,,,10304,土地1建物1車位0,六層,009,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1021211,147.8,1,1,1,有,有,7470000,50541,坡道平面,0.0,0
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮頭濱路二段318巷1~30號,94.3,,一般農業區,甲種建築用地,10304,土地1建物1車位0,全,002,透天厝,住家用,鋼筋混凝土加強磚造,0710219,123.0,0,0,2,無,無,1810000,14715,,0.0,0
宜蘭市,土地,壯一段1~30地號,21.0,住,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,808080,38480,,0.0,0
壯圍鄉,土地,古結段1681~1710地號,3735.0,,特定農業區,農牧用地,10304,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13784011,3690,,0.0,0
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮復興路61~90號,84.41,住,,,10304,土地2建物1車位0,全,003,透天厝,見其他登記事項,鋼筋混凝土造,1020903,201.65,4,1,3,有,無,7800000,38681,,0.0,0
壯圍鄉,土地,壯濱一段1111~1140地號,273.14,,一般農業區,養殖用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1230000,4503,,0.0,0
宜蘭市,土地,坤門二段781~810地號,54.98,其他,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,350000,6366,,0.0,0
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉永興路一段259巷1~30號,101.57,工,,,10304,土地4建物1車位0,全,002,透天厝,住家用,鋼筋混凝土加強磚造,0730802,92.74,1,2,2,有,無,3400000,36662,,0.0,0
員山鄉,土地,深洲段631~660地號,1979.2,,特定農業區,農牧用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5780000,2920,,0.0,0
