鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元
新店區,建物,新北市新店區北新路三段181~210號,0.0,工,,,10304,土地0建物1車位0,十五層,15,廠辦,見其他登記事項,見其他登記事項,0910523,896.83,0,0,0,無,有,無,120000,134,,0.0,0
中和區,建物,新北市中和區中正路841~870號,20.87,工,,,10304,土地0建物1車位0,十一層,17,辦公商業大樓,見其他登記事項,見其他登記事項,0890930,344.03,0,0,0,無,有,無,72849,212,,0.0,0
中和區,建物,新北市中和區圓通路61~90號,0.0,住,,,10304,土地0建物1車位0,一層,15,店面(店鋪),見其他登記事項,見其他登記事項,1010314,121.55,0,0,0,無,有,無,33000,271,,0.0,0
永和區,房地(土地+建物),新北市永和區永和路二段151~180號,3.87,其他,,,10304,土地2建物1車位0,十六層,19,套房(1房1廳1衛),見其他登記事項,見其他登記事項,1000422,52.849999999999994,1,0,1,有,有,有,18000,341,,0.0,0
永和區,建物,新北市永和區文化路151~180號,0.0,住,,,10304,土地0建物1車位0,一層,4,店面(店鋪),商業用,加強磚造,0670226,69.5,0,0,0,無,無,無,21000,302,,0.0,0
新莊區,房地(土地+建物),新北市新莊區化成路83巷1~30號,151.53,工,,,10304,土地1建物1車位0,見其他登記事項,2,工廠,住工用,鋼筋混凝土造,0740703,246.96,0,0,0,無,無,無,43000,,,0.0,0
新莊區,房地(土地+建物),新北市新莊區化成路190巷31~60號,231.87,工,,,10304,土地2建物1車位0,全,1,透天厝,住家用,磚造,0521201,73.88,0,0,1,有,無,有,40000,541,,0.0,0
新莊區,房地(土地+建物),新北市新莊區中港路432巷1~30號,12.55,住,,,10304,土地1建物1車位0,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840805,98.61,3,2,1,有,有,有,16000,162,,0.0,0
林口區,房地(土地+建物)+車位,新北市林口區南勢四街211~240號,102.14,住,,,10304,土地1建物1車位1,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0960727,278.65999999999997,5,3,4,有,有,無,28000,100,坡道平面,15.0,0
中和區,建物,新北市中和區南華路1~30號,0.0,住,,,10303,土地0建物1車位0,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920128,88.16000000000001,2,2,1,有,有,無,20000,227,,0.0,0
